# alias table
# from;to
# the 'from' sequence should be represented by the image for the 'to' sequence
# 'fe0f' is not in these sequences
E468;1F320 # KDDIa
EF40;1F320 # KDDIb
FEB6A;1F320 # Google
EB38;1F330 # KDDIa
ECF9;1F330 # KDDIb
FE04C;1F330 # Google
EB7D;1F331 # KDDIa
ED82;1F331 # KDDIb
E746;1F331 # Docomo
FE03E;1F331 # Google
E307;1F334 # Softbank
E4E2;1F334 # KDDIa
EFBB;1F334 # KDDIb
FE047;1F334 # Google
E308;1F335 # Softbank
EA96;1F335 # KDDIa
EC69;1F335 # KDDIb
FE048;1F335 # Google
E304;1F337 # Softbank
E4E4;1F337 # KDDIa
EFBD;1F337 # KDDIb
E743;1F337 # Docomo
FE03D;1F337 # Google
E030;1F338 # Softbank
E4CA;1F338 # KDDIa
EFA3;1F338 # KDDIb
E748;1F338 # Docomo
FE040;1F338 # Google
E032;1F339 # Softbank
E5BA;1F339 # KDDIa
F0EA;1F339 # KDDIb
FE041;1F339 # Google
E303;1F33A # Softbank
EA94;1F33A # KDDIa
EC67;1F33A # KDDIb
FE045;1F33A # Google
E305;1F33B # Softbank
E4E3;1F33B # KDDIa
EFBC;1F33B # KDDIb
FE046;1F33B # Google
EB49;1F33C # KDDIa
ED4D;1F33C # KDDIb
FE04D;1F33C # Google
EB36;1F33D # KDDIa
ECF7;1F33D # KDDIb
FE04A;1F33D # Google
E444;1F33E # Softbank
FE049;1F33E # Google
EB82;1F33F # KDDIa
ED87;1F33F # KDDIb
FE04E;1F33F # Google
E110;1F340 # Softbank
E513;1F340 # KDDIa
EFEC;1F340 # KDDIb
E741;1F340 # Docomo
FE03C;1F340 # Google
E118;1F341 # Softbank
E4CE;1F341 # KDDIa
EFA7;1F341 # KDDIb
E747;1F341 # Docomo
FE03F;1F341 # Google
E119;1F342 # Softbank
E5CD;1F342 # KDDIa
EC40;1F342 # KDDIb
FE042;1F342 # Google
E447;1F343 # Softbank
FE043;1F343 # Google
EB37;1F344 # KDDIa
ECF8;1F344 # KDDIb
FE04B;1F344 # Google
E349;1F345 # Softbank
EABB;1F345 # KDDIa
EC8F;1F345 # KDDIb
FE055;1F345 # Google
E34A;1F346 # Softbank
EABC;1F346 # KDDIa
EC90;1F346 # KDDIb
FE056;1F346 # Google
EB34;1F347 # KDDIa
ECF5;1F347 # KDDIb
FE059;1F347 # Google
EB32;1F348 # KDDIa
ECF3;1F348 # KDDIb
FE057;1F348 # Google
E348;1F349 # Softbank
E4CD;1F349 # KDDIa
EFA6;1F349 # KDDIb
FE054;1F349 # Google
E346;1F34A # Softbank
EABA;1F34A # KDDIa
EC8E;1F34A # KDDIb
FE052;1F34A # Google
EB35;1F34C # KDDIa
ECF6;1F34C # KDDIb
E744;1F34C # Docomo
FE050;1F34C # Google
EB33;1F34D # KDDIa
ECF4;1F34D # KDDIb
FE058;1F34D # Google
E345;1F34E # Softbank
EAB9;1F34E # KDDIa
EC8D;1F34E # KDDIb
E745;1F34E # Docomo
FE051;1F34E # Google
EB5A;1F34F # KDDIa
ED5E;1F34F # KDDIb
FE05B;1F34F # Google
EB39;1F351 # KDDIa
ECFA;1F351 # KDDIb
FE05A;1F351 # Google
E4D2;1F352 # KDDIa
EFAB;1F352 # KDDIb
E742;1F352 # Docomo
FE04F;1F352 # Google
E347;1F353 # Softbank
E4D4;1F353 # KDDIa
EFAD;1F353 # KDDIb
FE053;1F353 # Google
E120;1F354 # Softbank
E4D6;1F354 # KDDIa
EFAF;1F354 # KDDIb
E673;1F354 # Docomo
FE960;1F354 # Google
EB3B;1F355 # KDDIa
ECFC;1F355 # KDDIb
FE975;1F355 # Google
E4C4;1F356 # KDDIa
EF9D;1F356 # KDDIb
FE972;1F356 # Google
EB3C;1F357 # KDDIa
ED40;1F357 # KDDIb
FE976;1F357 # Google
E33D;1F358 # Softbank
EAB3;1F358 # KDDIa
EC87;1F358 # KDDIb
FE969;1F358 # Google
E342;1F359 # Softbank
E4D5;1F359 # KDDIa
EFAE;1F359 # KDDIb
E749;1F359 # Docomo
FE961;1F359 # Google
E33E;1F35A # Softbank
EAB4;1F35A # KDDIa
EC88;1F35A # KDDIb
FE96A;1F35A # Google
E341;1F35B # Softbank
EAB6;1F35B # KDDIa
EC8A;1F35B # KDDIb
FE96C;1F35B # Google
E340;1F35C # Softbank
E5B4;1F35C # KDDIa
F0D1;1F35C # KDDIb
E74C;1F35C # Docomo
FE963;1F35C # Google
E33F;1F35D # Softbank
EAB5;1F35D # KDDIa
EC89;1F35D # KDDIb
FE96B;1F35D # Google
E339;1F35E # Softbank
EAAF;1F35E # KDDIa
EC83;1F35E # KDDIb
E74D;1F35E # Docomo
FE964;1F35E # Google
E33B;1F35F # Softbank
EAB1;1F35F # KDDIa
EC85;1F35F # KDDIb
FE967;1F35F # Google
EB3A;1F360 # KDDIa
ECFB;1F360 # KDDIb
FE974;1F360 # Google
E33C;1F361 # Softbank
EAB2;1F361 # KDDIa
EC86;1F361 # KDDIb
FE968;1F361 # Google
E343;1F362 # Softbank
EAB7;1F362 # KDDIa
EC8B;1F362 # KDDIb
FE96D;1F362 # Google
E344;1F363 # Softbank
EAB8;1F363 # KDDIa
EC8C;1F363 # KDDIb
FE96E;1F363 # Google
EB70;1F364 # KDDIa
ED74;1F364 # KDDIb
FE97F;1F364 # Google
E4ED;1F365 # KDDIa
EFC6;1F365 # KDDIb
FE973;1F365 # Google
E33A;1F366 # Softbank
EAB0;1F366 # KDDIa
EC84;1F366 # KDDIb
FE966;1F366 # Google
E43F;1F367 # Softbank
EAEA;1F367 # KDDIa
ECBE;1F367 # KDDIb
FE971;1F367 # Google
EB4A;1F368 # KDDIa
ED4E;1F368 # KDDIb
FE977;1F368 # Google
EB4B;1F369 # KDDIa
ED4F;1F369 # KDDIb
FE978;1F369 # Google
EB4C;1F36A # KDDIa
ED50;1F36A # KDDIb
FE979;1F36A # Google
EB4D;1F36B # KDDIa
ED51;1F36B # KDDIb
FE97A;1F36B # Google
EB4E;1F36C # KDDIa
ED52;1F36C # KDDIb
FE97B;1F36C # Google
EB4F;1F36D # KDDIa
ED53;1F36D # KDDIb
FE97C;1F36D # Google
EB56;1F36E # KDDIa
ED5A;1F36E # KDDIb
FE97D;1F36E # Google
EB59;1F36F # KDDIa
ED5D;1F36F # KDDIb
FE97E;1F36F # Google
E046;1F370 # Softbank
E4D0;1F370 # KDDIa
EFA9;1F370 # KDDIb
E74A;1F370 # Docomo
FE962;1F370 # Google
E34C;1F371 # Softbank
EABD;1F371 # KDDIa
EC91;1F371 # KDDIb
FE96F;1F371 # Google
E34D;1F372 # Softbank
EABE;1F372 # KDDIa
EC92;1F372 # KDDIb
FE970;1F372 # Google
E147;1F373 # Softbank
E4D1;1F373 # KDDIa
EFAA;1F373 # KDDIb
FE965;1F373 # Google
E043;1F374 # Softbank
E4AC;1F374 # KDDIa
EF85;1F374 # KDDIb
E66F;1F374 # Docomo
FE980;1F374 # Google
E338;1F375 # Softbank
EAAE;1F375 # KDDIa
EC82;1F375 # KDDIb
E71E;1F375 # Docomo
FE984;1F375 # Google
E30B;1F376 # Softbank
EA97;1F376 # KDDIa
EC6A;1F376 # KDDIb
E74B;1F376 # Docomo
FE985;1F376 # Google
E4C1;1F377 # KDDIa
EF9A;1F377 # KDDIb
E756;1F377 # Docomo
FE986;1F377 # Google
E044;1F378 # Softbank
E4C2;1F378 # KDDIa
EF9B;1F378 # KDDIb
E671;1F378 # Docomo
FE982;1F378 # Google
EB3E;1F379 # KDDIa
ED42;1F379 # KDDIb
FE988;1F379 # Google
E047;1F37A # Softbank
E4C3;1F37A # KDDIa
EF9C;1F37A # KDDIb
E672;1F37A # Docomo
FE983;1F37A # Google
E30C;1F37B # Softbank
EA98;1F37B # KDDIa
EC6B;1F37B # KDDIb
FE987;1F37B # Google
E314;1F380 # Softbank
E59F;1F380 # KDDIa
F0BC;1F380 # KDDIb
E684;1F380 # Docomo
FE50F;1F380 # Google
E112;1F381 # Softbank
E4CF;1F381 # KDDIa
EFA8;1F381 # KDDIb
E685;1F381 # Docomo
FE510;1F381 # Google
E34B;1F382 # Softbank
E5A0;1F382 # KDDIa
F0BD;1F382 # KDDIb
E686;1F382 # Docomo
FE511;1F382 # Google
E445;1F383 # Softbank
EAEE;1F383 # KDDIa
ECC2;1F383 # KDDIb
FE51F;1F383 # Google
E033;1F384 # Softbank
E4C9;1F384 # KDDIa
EFA2;1F384 # KDDIb
E6A4;1F384 # Docomo
FE512;1F384 # Google
E448;1F385 # Softbank
EAF0;1F385 # KDDIa
ECC4;1F385 # KDDIb
FE513;1F385 # Google
E117;1F386 # Softbank
E5CC;1F386 # KDDIa
F0FC;1F386 # KDDIb
FE515;1F386 # Google
E440;1F387 # Softbank
EAEB;1F387 # KDDIa
ECBF;1F387 # KDDIb
FE51D;1F387 # Google
E310;1F388 # Softbank
EA9B;1F388 # KDDIa
EC6E;1F388 # KDDIb
FE516;1F388 # Google
E312;1F389 # Softbank
EA9C;1F389 # KDDIa
EC6F;1F389 # KDDIb
FE517;1F389 # Google
E46F;1F38A # KDDIa
EF47;1F38A # KDDIb
FE520;1F38A # Google
EB3D;1F38B # KDDIa
ED41;1F38B # KDDIb
FE521;1F38B # Google
E143;1F38C # Softbank
E5D9;1F38C # KDDIa
EC4C;1F38C # KDDIb
FE514;1F38C # Google
E436;1F38D # Softbank
EAE3;1F38D # KDDIa
ECB7;1F38D # KDDIb
FE518;1F38D # Google
E438;1F38E # Softbank
EAE4;1F38E # KDDIa
ECB8;1F38E # KDDIb
FE519;1F38E # Google
E43B;1F38F # Softbank
EAE7;1F38F # KDDIa
ECBB;1F38F # KDDIb
FE51C;1F38F # Google
E442;1F390 # Softbank
EAED;1F390 # KDDIa
ECC1;1F390 # KDDIb
FE51E;1F390 # Google
E446;1F391 # Softbank
EAEF;1F391 # KDDIa
ECC3;1F391 # KDDIb
FE017;1F391 # Google
E43A;1F392 # Softbank
EAE6;1F392 # KDDIa
ECBA;1F392 # KDDIb
FE51B;1F392 # Google
E439;1F393 # Softbank
EAE5;1F393 # KDDIa
ECB9;1F393 # KDDIb
FE51A;1F393 # Google
E679;1F3A0 # Docomo
FE7FC;1F3A0 # Google
E124;1F3A1 # Softbank
E46D;1F3A1 # KDDIa
EF45;1F3A1 # KDDIb
FE7FD;1F3A1 # Google
E433;1F3A2 # Softbank
EAE2;1F3A2 # KDDIa
ECB6;1F3A2 # KDDIb
FE7FE;1F3A2 # Google
EB42;1F3A3 # KDDIa
ED46;1F3A3 # KDDIb
FE7FF;1F3A3 # Google
E03C;1F3A4 # Softbank
E503;1F3A4 # KDDIa
EFDC;1F3A4 # KDDIb
E676;1F3A4 # Docomo
FE800;1F3A4 # Google
E03D;1F3A5 # Softbank
E517;1F3A5 # KDDIa
EFF0;1F3A5 # KDDIb
E677;1F3A5 # Docomo
FE801;1F3A5 # Google
E507;1F3A6 # Softbank
FE802;1F3A6 # Google
E30A;1F3A7 # Softbank
E508;1F3A7 # KDDIa
EFE1;1F3A7 # KDDIb
E67A;1F3A7 # Docomo
FE803;1F3A7 # Google
E502;1F3A8 # Softbank
E59C;1F3A8 # KDDIa
F0B9;1F3A8 # KDDIb
E67B;1F3A8 # Docomo
FE804;1F3A8 # Google
E503;1F3A9 # Softbank
EAF5;1F3A9 # KDDIa
ECC9;1F3A9 # KDDIb
E67C;1F3A9 # Docomo
FE805;1F3A9 # Google
E59E;1F3AA # KDDIa
F0BB;1F3AA # KDDIb
E67D;1F3AA # Docomo
FE806;1F3AA # Google
E125;1F3AB # Softbank
E49E;1F3AB # KDDIa
EF76;1F3AB # KDDIb
E67E;1F3AB # Docomo
FE807;1F3AB # Google
E324;1F3AC # Softbank
E4BE;1F3AC # KDDIa
EF97;1F3AC # KDDIb
E6AC;1F3AC # Docomo
FE808;1F3AC # Google
E59D;1F3AD # KDDIa
F0BA;1F3AD # KDDIb
FE809;1F3AD # Google
E4C6;1F3AE # KDDIa
EF9F;1F3AE # KDDIb
E68B;1F3AE # Docomo
FE80A;1F3AE # Google
E130;1F3AF # Softbank
E4C5;1F3AF # KDDIa
EF9E;1F3AF # KDDIb
FE80C;1F3AF # Google
E133;1F3B0 # Softbank
E46E;1F3B0 # KDDIa
EF46;1F3B0 # KDDIb
FE80D;1F3B0 # Google
E42C;1F3B1 # Softbank
EADD;1F3B1 # KDDIa
ECB1;1F3B1 # KDDIb
FE80E;1F3B1 # Google
E4C8;1F3B2 # KDDIa
EFA1;1F3B2 # KDDIb
FE80F;1F3B2 # Google
EB43;1F3B3 # KDDIa
ED47;1F3B3 # KDDIb
FE810;1F3B3 # Google
EB6E;1F3B4 # KDDIa
ED72;1F3B4 # KDDIb
FE811;1F3B4 # Google
E03E;1F3B5 # Softbank
E5BE;1F3B5 # KDDIa
F0EE;1F3B5 # KDDIb
E6F6;1F3B5 # Docomo
FE813;1F3B5 # Google
E326;1F3B6 # Softbank
E505;1F3B6 # KDDIa
EFDE;1F3B6 # KDDIb
E6FF;1F3B6 # Docomo
FE814;1F3B6 # Google
E040;1F3B7 # Softbank
FE815;1F3B7 # Google
E041;1F3B8 # Softbank
E506;1F3B8 # KDDIa
EFDF;1F3B8 # KDDIb
FE816;1F3B8 # Google
EB40;1F3B9 # KDDIa
ED44;1F3B9 # KDDIb
FE817;1F3B9 # Google
E042;1F3BA # Softbank
EADC;1F3BA # KDDIa
ECB0;1F3BA # KDDIb
FE818;1F3BA # Google
E507;1F3BB # KDDIa
EFE0;1F3BB # KDDIb
FE819;1F3BB # Google
EACC;1F3BC # KDDIa
ECA0;1F3BC # KDDIb
FE81A;1F3BC # Google
E652;1F3BD # Docomo
FE7D0;1F3BD # Google
E015;1F3BE # Softbank
E4B7;1F3BE # KDDIa
EF90;1F3BE # KDDIb
E655;1F3BE # Docomo
FE7D3;1F3BE # Google
E013;1F3BF # Softbank
EAAC;1F3BF # KDDIa
EC80;1F3BF # KDDIb
E657;1F3BF # Docomo
FE7D5;1F3BF # Google
E42A;1F3C0 # Softbank
E59A;1F3C0 # KDDIa
F0B7;1F3C0 # KDDIb
E658;1F3C0 # Docomo
FE7D6;1F3C0 # Google
E132;1F3C1 # Softbank
E4B9;1F3C1 # KDDIa
EF92;1F3C1 # KDDIb
E659;1F3C1 # Docomo
FE7D7;1F3C1 # Google
E4B8;1F3C2 # KDDIa
EF91;1F3C2 # KDDIb
E712;1F3C2 # Docomo
FE7D8;1F3C2 # Google
E115;1F3C3 # Softbank
E46B;1F3C3 # KDDIa
EF43;1F3C3 # KDDIb
E733;1F3C3 # Docomo
FE7D9;1F3C3 # Google
E017;1F3C4 # Softbank
EB41;1F3C4 # KDDIa
ED45;1F3C4 # KDDIb
FE7DA;1F3C4 # Google
E131;1F3C6 # Softbank
E5D3;1F3C6 # KDDIa
EC46;1F3C6 # KDDIb
FE7DB;1F3C6 # Google
E42B;1F3C8 # Softbank
E4BB;1F3C8 # KDDIa
EF94;1F3C8 # KDDIb
FE7DD;1F3C8 # Google
E42D;1F3CA # Softbank
EADE;1F3CA # KDDIa
ECB2;1F3CA # KDDIb
FE7DE;1F3CA # Google
E036;1F3E0 # Softbank
E4AB;1F3E0 # KDDIa
EF84;1F3E0 # KDDIb
E663;1F3E0 # Docomo
FE4B0;1F3E0 # Google
EB09;1F3E1 # KDDIa
F0E0;1F3E1 # KDDIb
FE4B1;1F3E1 # Google
E038;1F3E2 # Softbank
E4AD;1F3E2 # KDDIa
EF86;1F3E2 # KDDIb
E664;1F3E2 # Docomo
FE4B2;1F3E2 # Google
E153;1F3E3 # Softbank
E5DE;1F3E3 # KDDIa
EC51;1F3E3 # KDDIb
E665;1F3E3 # Docomo
FE4B3;1F3E3 # Google
E155;1F3E5 # Softbank
E5DF;1F3E5 # KDDIa
EC52;1F3E5 # KDDIb
E666;1F3E5 # Docomo
FE4B4;1F3E5 # Google
E14D;1F3E6 # Softbank
E4AA;1F3E6 # KDDIa
EF83;1F3E6 # KDDIb
E667;1F3E6 # Docomo
FE4B5;1F3E6 # Google
E154;1F3E7 # Softbank
E4A3;1F3E7 # KDDIa
EF7B;1F3E7 # KDDIb
E668;1F3E7 # Docomo
FE4B6;1F3E7 # Google
E158;1F3E8 # Softbank
EA81;1F3E8 # KDDIa
EC54;1F3E8 # KDDIb
E669;1F3E8 # Docomo
FE4B7;1F3E8 # Google
E501;1F3E9 # Softbank
EAF3;1F3E9 # KDDIa
ECC7;1F3E9 # KDDIb
FE4B8;1F3E9 # Google
E156;1F3EA # Softbank
E4A4;1F3EA # KDDIa
EF7C;1F3EA # KDDIb
E66A;1F3EA # Docomo
FE4B9;1F3EA # Google
E157;1F3EB # Softbank
EA80;1F3EB # KDDIa
EC53;1F3EB # KDDIb
E73E;1F3EB # Docomo
FE4BA;1F3EB # Google
E504;1F3EC # Softbank
EAF6;1F3EC # KDDIa
ECCA;1F3EC # KDDIb
FE4BD;1F3EC # Google
E508;1F3ED # Softbank
EAF9;1F3ED # KDDIa
ECCD;1F3ED # KDDIb
FE4C0;1F3ED # Google
E4BD;1F3EE # KDDIa
EF96;1F3EE # KDDIb
FE4C2;1F3EE # Google
E505;1F3EF # Softbank
EAF7;1F3EF # KDDIa
ECCB;1F3EF # KDDIb
FE4BE;1F3EF # Google
E506;1F3F0 # Softbank
EAF8;1F3F0 # KDDIa
ECCC;1F3F0 # KDDIb
FE4BF;1F3F0 # Google
EB7E;1F40C # KDDIa
ED83;1F40C # KDDIb
E74E;1F40C # Docomo
FE1B9;1F40C # Google
E52D;1F40D # Softbank
EB22;1F40D # KDDIa
ECE3;1F40D # KDDIb
FE1D3;1F40D # Google
E134;1F40E # Softbank
FE7DC;1F40E # Google
E529;1F411 # Softbank
FE1CF;1F411 # Google
E528;1F412 # Softbank
FE1CE;1F412 # Google
E52E;1F414 # Softbank
EB23;1F414 # KDDIa
ECE4;1F414 # KDDIb
FE1D4;1F414 # Google
E52F;1F417 # Softbank
EB24;1F417 # KDDIa
ECE5;1F417 # KDDIb
FE1D5;1F417 # Google
E526;1F418 # Softbank
EB1F;1F418 # KDDIa
ECE0;1F418 # KDDIb
FE1CC;1F418 # Google
E10A;1F419 # Softbank
E5C7;1F419 # KDDIa
F0F7;1F419 # KDDIb
FE1C5;1F419 # Google
E441;1F41A # Softbank
EAEC;1F41A # KDDIa
ECC0;1F41A # KDDIb
FE1C6;1F41A # Google
E525;1F41B # Softbank
EB1E;1F41B # KDDIa
ECDF;1F41B # KDDIb
FE1CB;1F41B # Google
E4DD;1F41C # KDDIa
EFB6;1F41C # KDDIb
FE1DA;1F41C # Google
EB57;1F41D # KDDIa
ED5B;1F41D # KDDIb
 # Google
EB58;1F41E # KDDIa
ED5C;1F41E # KDDIb
 # Google
E019;1F41F # Softbank
E751;1F41F # Docomo
FE1BD;1F41F # Google
E522;1F420 # Softbank
EB1D;1F420 # KDDIa
ECDE;1F420 # KDDIb
FE1C9;1F420 # Google
E4D3;1F421 # KDDIa
EFAC;1F421 # KDDIb
FE1D9;1F421 # Google
E5D4;1F422 # KDDIa
EC47;1F422 # KDDIb
FE1DC;1F422 # Google
E5DB;1F423 # KDDIa
EC4E;1F423 # KDDIb
FE1DD;1F423 # Google
E523;1F424 # Softbank
E4E0;1F424 # KDDIa
EFB9;1F424 # KDDIb
E74F;1F424 # Docomo
FE1BA;1F424 # Google
EB76;1F425 # KDDIa
ED7A;1F425 # KDDIb
FE1BB;1F425 # Google
E521;1F426 # Softbank
FE1C8;1F426 # Google
E055;1F427 # Softbank
E4DC;1F427 # KDDIa
EFB5;1F427 # KDDIb
E750;1F427 # Docomo
FE1BC;1F427 # Google
E527;1F428 # Softbank
EB20;1F428 # KDDIa
ECE1;1F428 # KDDIb
FE1CD;1F428 # Google
E4DF;1F429 # KDDIa
EFB8;1F429 # KDDIb
FE1D8;1F429 # Google
E530;1F42B # Softbank
EB25;1F42B # KDDIa
ECE6;1F42B # KDDIb
FE1D6;1F42B # Google
E520;1F42C # Softbank
EB1B;1F42C # KDDIa
ECDC;1F42C # KDDIb
FE1C7;1F42C # Google
E053;1F42D # Softbank
E5C2;1F42D # KDDIa
F0F2;1F42D # KDDIb
FE1C2;1F42D # Google
E52B;1F42E # Softbank
EB21;1F42E # KDDIa
ECE2;1F42E # KDDIb
FE1D1;1F42E # Google
E050;1F42F # Softbank
E5C0;1F42F # KDDIa
F0F0;1F42F # KDDIb
FE1C0;1F42F # Google
E52C;1F430 # Softbank
E4D7;1F430 # KDDIa
EFB0;1F430 # KDDIb
FE1D2;1F430 # Google
E04F;1F431 # Softbank
E4DB;1F431 # KDDIa
EFB4;1F431 # KDDIb
E6A2;1F431 # Docomo
FE1B8;1F431 # Google
EB3F;1F432 # KDDIa
ED43;1F432 # KDDIb
FE1DE;1F432 # Google
E054;1F433 # Softbank
E470;1F433 # KDDIa
EF48;1F433 # KDDIb
FE1C3;1F433 # Google
E01A;1F434 # Softbank
E4D8;1F434 # KDDIa
EFB1;1F434 # KDDIb
E754;1F434 # Docomo
FE1BE;1F434 # Google
E109;1F435 # Softbank
E4D9;1F435 # KDDIa
EFB2;1F435 # KDDIb
FE1C4;1F435 # Google
E052;1F436 # Softbank
E4E1;1F436 # KDDIa
EFBA;1F436 # KDDIb
E6A1;1F436 # Docomo
FE1B7;1F436 # Google
E10B;1F437 # Softbank
E4DE;1F437 # KDDIa
EFB7;1F437 # KDDIb
E755;1F437 # Docomo
FE1BF;1F437 # Google
E531;1F438 # Softbank
E4DA;1F438 # KDDIa
EFB3;1F438 # KDDIb
FE1D7;1F438 # Google
E524;1F439 # Softbank
FE1CA;1F439 # Google
E52A;1F43A # Softbank
FE1D0;1F43A # Google
E051;1F43B # Softbank
E5C1;1F43B # KDDIa
F0F1;1F43B # KDDIb
FE1C1;1F43B # Google
EB46;1F43C # KDDIa
ED4A;1F43C # KDDIb
FE1DF;1F43C # Google
EB48;1F43D # KDDIa
ED4C;1F43D # KDDIb
FE1E0;1F43D # Google
E4EE;1F43E # KDDIa
EFC7;1F43E # KDDIb
FE1DB;1F43E # Google
E419;1F440 # Softbank
E5A4;1F440 # KDDIa
F0C1;1F440 # KDDIb
E691;1F440 # Docomo
FE190;1F440 # Google
E41B;1F442 # Softbank
E5A5;1F442 # KDDIa
F0C2;1F442 # KDDIb
E692;1F442 # Docomo
FE191;1F442 # Google
E41A;1F443 # Softbank
EAD0;1F443 # KDDIa
ECA4;1F443 # KDDIb
FE192;1F443 # Google
E41C;1F444 # Softbank
EAD1;1F444 # KDDIa
ECA5;1F444 # KDDIb
FE193;1F444 # Google
EB47;1F445 # KDDIa
ED4B;1F445 # KDDIb
FE194;1F445 # Google
E22E;1F446 # Softbank
EA8D;1F446 # KDDIa
EC60;1F446 # KDDIb
FEB99;1F446 # Google
E22F;1F447 # Softbank
EA8E;1F447 # KDDIa
EC61;1F447 # KDDIb
FEB9A;1F447 # Google
E230;1F448 # Softbank
E4FF;1F448 # KDDIa
EFD8;1F448 # KDDIb
FEB9B;1F448 # Google
E231;1F449 # Softbank
E500;1F449 # KDDIa
EFD9;1F449 # KDDIb
FEB9C;1F449 # Google
E00D;1F44A # Softbank
E4F3;1F44A # KDDIa
EFCC;1F44A # KDDIb
E6FD;1F44A # Docomo
FEB96;1F44A # Google
E41E;1F44B # Softbank
EAD6;1F44B # KDDIa
ECAA;1F44B # KDDIb
FEB9D;1F44B # Google
E420;1F44C # Softbank
EAD4;1F44C # KDDIa
ECA8;1F44C # KDDIb
FEB9F;1F44C # Google
E00E;1F44D # Softbank
E4F9;1F44D # KDDIa
EFD2;1F44D # KDDIb
E727;1F44D # Docomo
FEB97;1F44D # Google
E421;1F44E # Softbank
EAD5;1F44E # KDDIa
ECA9;1F44E # KDDIb
FEBA0;1F44E # Google
E41F;1F44F # Softbank
EAD3;1F44F # KDDIa
ECA7;1F44F # KDDIb
FEB9E;1F44F # Google
E422;1F450 # Softbank
FEBA1;1F450 # Google
E10E;1F451 # Softbank
E5C9;1F451 # KDDIa
F0F9;1F451 # KDDIb
E71A;1F451 # Docomo
FE4D1;1F451 # Google
E318;1F452 # Softbank
EA9E;1F452 # KDDIa
EC71;1F452 # KDDIb
FE4D4;1F452 # Google
E4FE;1F453 # KDDIa
EFD7;1F453 # KDDIb
E69A;1F453 # Docomo
FE4CE;1F453 # Google
E302;1F454 # Softbank
EA93;1F454 # KDDIa
EC66;1F454 # KDDIb
FE4D3;1F454 # Google
E006;1F455 # Softbank
E5B6;1F455 # KDDIa
F0E6;1F455 # KDDIb
E70E;1F455 # Docomo
FE4CF;1F455 # Google
EB77;1F456 # KDDIa
ED7B;1F456 # KDDIb
E711;1F456 # Docomo
FE4D0;1F456 # Google
E319;1F457 # Softbank
EB6B;1F457 # KDDIa
ED6F;1F457 # KDDIb
FE4D5;1F457 # Google
E321;1F458 # Softbank
EAA3;1F458 # KDDIa
EC76;1F458 # KDDIb
FE4D9;1F458 # Google
E322;1F459 # Softbank
EAA4;1F459 # KDDIa
EC77;1F459 # KDDIb
FE4DA;1F459 # Google
E50D;1F45A # KDDIa
EFE6;1F45A # KDDIb
FE4DB;1F45A # Google
E504;1F45B # KDDIa
EFDD;1F45B # KDDIb
E70F;1F45B # Docomo
FE4DC;1F45B # Google
E323;1F45C # Softbank
E49C;1F45C # KDDIa
EF74;1F45C # KDDIb
E682;1F45C # Docomo
FE4F0;1F45C # Google
E6AD;1F45D # Docomo
FE4F1;1F45D # Google
E5B7;1F45E # KDDIa
F0E7;1F45E # KDDIb
FE4CC;1F45E # Google
E007;1F45F # Softbank
EB2B;1F45F # KDDIa
ECEC;1F45F # KDDIb
E699;1F45F # Docomo
FE4CD;1F45F # Google
E13E;1F460 # Softbank
E51A;1F460 # KDDIa
EFF3;1F460 # KDDIb
E674;1F460 # Docomo
FE4D6;1F460 # Google
E31A;1F461 # Softbank
FE4D7;1F461 # Google
E31B;1F462 # Softbank
EA9F;1F462 # KDDIa
EC72;1F462 # KDDIb
FE4D8;1F462 # Google
E536;1F463 # Softbank
EB2A;1F463 # KDDIa
ECEB;1F463 # KDDIb
E698;1F463 # Docomo
FE553;1F463 # Google
E6B1;1F464 # Docomo
FE19A;1F464 # Google
E001;1F466 # Softbank
FE19B;1F466 # Google
E002;1F467 # Softbank
FE19C;1F467 # Google
E004;1F468 # Softbank
E4FC;1F468 # KDDIa
EFD5;1F468 # KDDIb
FE19D;1F468 # Google
E005;1F469 # Softbank
E4FA;1F469 # KDDIa
EFD3;1F469 # KDDIb
FE19E;1F469 # Google
E501;1F46A # KDDIa
EFDA;1F46A # KDDIb
FE19F;1F46A # Google
E428;1F46B # Softbank
FE1A0;1F46B # Google
E152;1F46E # Softbank
E5DD;1F46E # KDDIa
EC50;1F46E # KDDIb
FE1A1;1F46E # Google
E429;1F46F # Softbank
EADB;1F46F # KDDIa
ECAF;1F46F # KDDIb
FE1A2;1F46F # Google
EAE9;1F470 # KDDIa
ECBD;1F470 # KDDIb
FE1A3;1F470 # Google
E515;1F471 # Softbank
EB13;1F471 # KDDIa
ECD4;1F471 # KDDIb
FE1A4;1F471 # Google
E516;1F472 # Softbank
EB14;1F472 # KDDIa
ECD5;1F472 # KDDIb
FE1A5;1F472 # Google
E517;1F473 # Softbank
EB15;1F473 # KDDIa
ECD6;1F473 # KDDIb
FE1A6;1F473 # Google
E518;1F474 # Softbank
EB16;1F474 # KDDIa
ECD7;1F474 # KDDIb
FE1A7;1F474 # Google
E519;1F475 # Softbank
EB17;1F475 # KDDIa
ECD8;1F475 # KDDIb
FE1A8;1F475 # Google
E51A;1F476 # Softbank
EB18;1F476 # KDDIa
ECD9;1F476 # KDDIb
FE1A9;1F476 # Google
E51B;1F477 # Softbank
EB19;1F477 # KDDIa
ECDA;1F477 # KDDIb
FE1AA;1F477 # Google
